nome,telefone,email,genero,segmento,tamanho,areaProduto,funcao,estrategiaMarketing,ia,estrategiaAtendimento,aumentoProdutividade,comunicacao,ambienteIntegrado,capacitacao,reducaoCusto,conversao,vendas,ferramentas,timeVendas,estrategiaEmpresa,marca,jornada,marketingOportunidade,produto_sugerido
Cliente 28,(11) 962286002,cliente28@exemplo.com,Masculino,C,Grande,Área 1,Função 2,Estrategia A,Não,Proativa,Sim,Regular,Não,Sim,Não,Não,919,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 2,Não,Produto 3
Cliente 29,(11) 942049003,cliente29@exemplo.com,Feminino,C,Pequeno,Área 2,Função 1,Estrategia A,Não,Proativa,Não,Ruim,Sim,Sim,Sim,Sim,772,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 30,(11) 971136438,cliente30@exemplo.com,Feminino,C,Grande,Área 2,Função 3,Estrategia B,Sim,Reativa,Sim,Boa,Sim,Não,Não,Não,612,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Sim,Produto 3
Cliente 31,(11) 972194931,cliente31@exemplo.com,Masculino,A,Pequeno,Área 3,Função 2,Estrategia B,Sim,Proativa,Não,Boa,Não,Sim,Não,Sim,847,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 1
Cliente 32,(11) 975285250,cliente32@exemplo.com,Masculino,C,Grande,Área 2,Função 3,Estrategia B,Não,Reativa,Não,Boa,Sim,Não,Sim,Não,287,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
Cliente 33,(11) 979537252,cliente33@exemplo.com,Masculino,A,Médio,Área 2,Função 2,Estrategia B,Sim,Proativa,Sim,Boa,Não,Não,Não,Sim,615,Ferramenta B,Time 2,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 34,(11) 969248434,cliente34@exemplo.com,Masculino,B,Pequeno,Área 3,Função 2,Estrategia A,Sim,Proativa,Sim,Regular,Sim,Não,Sim,Sim,743,Ferramenta A,Time 2,Estrategia 2,Marca A,Jornada 1,Não,Produto 2
Cliente 35,(11) 971306900,cliente35@exemplo.com,Feminino,C,Pequeno,Área 2,Função 2,Estrategia A,Não,Proativa,Sim,Regular,Sim,Não,Não,Não,526,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 2,Sim,Produto 3
Cliente 36,(11) 965831368,cliente36@exemplo.com,Feminino,A,Grande,Área 2,Função 1,Estrategia A,Sim,Proativa,Sim,Boa,Não,Não,Não,Não,601,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 1
Cliente 37,(11) 920959014,cliente37@exemplo.com,Masculino,A,Grande,Área 2,Função 1,Estrategia B,Sim,Reativa,Não,Ruim,Sim,Sim,Não,Não,829,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 38,(11) 966972561,cliente38@exemplo.com,Masculino,C,Pequeno,Área 2,Função 1,Estrategia A,Não,Reativa,Sim,Boa,Sim,Não,Sim,Sim,359,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 3
Cliente 39,(11) 958900483,cliente39@exemplo.com,Feminino,B,Grande,Área 3,Função 3,Estrategia B,Não,Reativa,Não,Ruim,Sim,Sim,Não,Não,612,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 2,Sim,Produto 2
Cliente 40,(11) 930193880,cliente40@exemplo.com,Feminino,B,Grande,Área 2,Função 3,Estrategia B,Sim,Reativa,Sim,Boa,Não,Não,Sim,Não,170,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 2
Cliente 41,(11) 913385357,cliente41@exemplo.com,Masculino,B,Grande,Área 2,Função 1,Estrategia A,Sim,Proativa,Não,Ruim,Sim,Não,Não,Sim,577,Ferramenta B,Time 2,Estrategia 1,Marca A,Jornada 2,Não,Produto 2
Cliente 42,(11) 954738553,cliente42@exemplo.com,Masculino,A,Médio,Área 3,Função 3,Estrategia A,Não,Reativa,Não,Boa,Sim,Não,Sim,Não,277,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 1
Cliente 43,(11) 978574553,cliente43@exemplo.com,Masculino,A,Médio,Área 1,Função 2,Estrategia A,Sim,Reativa,Não,Ruim,Sim,Sim,Sim,Sim,556,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 44,(11) 926845364,cliente44@exemplo.com,Feminino,A,Grande,Área 3,Função 2,Estrategia B,Sim,Proativa,Não,Boa,Sim,Não,Sim,Não,288,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 1
Cliente 45,(11) 962157313,cliente45@exemplo.com,Feminino,A,Grande,Área 1,Função 2,Estrategia B,Sim,Proativa,Sim,Boa,Sim,Não,Não,Sim,390,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 2,Não,Produto 1
Cliente 46,(11) 921392366,cliente46@exemplo.com,Feminino,B,Médio,Área 3,Função 1,Estrategia A,Não,Proativa,Sim,Ruim,Sim,Não,Sim,Sim,619,Ferramenta C,Time 1,Estrategia 2,Marca A,Jornada 1,Não,Produto 2
Cliente 47,(11) 979778859,cliente47@exemplo.com,Masculino,C,Médio,Área 3,Função 3,Estrategia A,Sim,Proativa,Não,Regular,Não,Não,Não,Não,864,Ferramenta A,Time 2,Estrategia 2,Marca A,Jornada 2,Sim,Produto 3
Cliente 48,(11) 998883975,cliente48@exemplo.com,Masculino,A,Pequeno,Área 2,Função 1,Estrategia B,Sim,Reativa,Sim,Ruim,Não,Sim,Sim,Sim,391,Ferramenta B,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 1
Cliente 49,(11) 923479854,cliente49@exemplo.com,Feminino,A,Pequeno,Área 1,Função 3,Estrategia A,Não,Reativa,Sim,Regular,Sim,Não,Sim,Não,855,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 50,(11) 983506850,cliente50@exemplo.com,Feminino,B,Médio,Área 2,Função 2,Estrategia B,Sim,Proativa,Não,Boa,Não,Sim,Sim,Não,734,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 2
Cliente 51,(11) 923187277,cliente51@exemplo.com,Masculino,C,Grande,Área 1,Função 1,Estrategia B,Sim,Proativa,Sim,Ruim,Não,Não,Sim,Sim,910,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 3
Cliente 52,(11) 978979792,cliente52@exemplo.com,Feminino,C,Grande,Área 3,Função 3,Estrategia A,Não,Proativa,Sim,Ruim,Sim,Sim,Não,Não,382,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 53,(11) 947709731,cliente53@exemplo.com,Feminino,B,Grande,Área 3,Função 3,Estrategia A,Não,Reativa,Sim,Ruim,Não,Sim,Sim,Sim,643,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 2
Cliente 54,(11) 936939239,cliente54@exemplo.com,Masculino,B,Grande,Área 1,Função 2,Estrategia A,Não,Reativa,Não,Regular,Não,Não,Sim,Sim,945,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 1,Não,Produto 2
Cliente 55,(11) 933027075,cliente55@exemplo.com,Feminino,C,Pequeno,Área 2,Função 1,Estrategia A,Não,Proativa,Sim,Regular,Não,Não,Não,Sim,476,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 2,Sim,Produto 3
Cliente 56,(11) 991200125,cliente56@exemplo.com,Masculino,A,Médio,Área 2,Função 1,Estrategia B,Sim,Proativa,Não,Boa,Não,Sim,Sim,Sim,757,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 1
Cliente 57,(11) 996191493,cliente57@exemplo.com,Masculino,C,Grande,Área 2,Função 1,Estrategia B,Sim,Reativa,Sim,Regular,Não,Não,Sim,Sim,255,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 3
Cliente 58,(11) 997796277,cliente58@exemplo.com,Masculino,B,Pequeno,Área 2,Função 2,Estrategia B,Não,Proativa,Sim,Regular,Não,Não,Sim,Sim,607,Ferramenta A,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 2
Cliente 59,(11) 976401385,cliente59@exemplo.com,Masculino,A,Grande,Área 3,Função 1,Estrategia A,Não,Proativa,Sim,Boa,Não,Não,Sim,Sim,512,Ferramenta A,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 60,(11) 932335235,cliente60@exemplo.com,Masculino,A,Médio,Área 3,Função 2,Estrategia B,Sim,Reativa,Não,Ruim,Não,Sim,Não,Sim,627,Ferramenta B,Time 1,Estrategia 2,Marca A,Jornada 1,Não,Produto 1
Cliente 61,(11) 910271836,cliente61@exemplo.com,Masculino,B,Pequeno,Área 3,Função 2,Estrategia A,Não,Proativa,Não,Ruim,Sim,Não,Não,Não,454,Ferramenta A,Time 1,Estrategia 1,Marca A,Jornada 1,Não,Produto 2
Cliente 62,(11) 913584702,cliente62@exemplo.com,Masculino,B,Médio,Área 3,Função 2,Estrategia A,Sim,Reativa,Sim,Boa,Sim,Não,Sim,Não,658,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 2,Não,Produto 2
Cliente 63,(11) 962631083,cliente63@exemplo.com,Feminino,B,Médio,Área 3,Função 3,Estrategia A,Não,Proativa,Não,Ruim,Não,Não,Não,Sim,862,Ferramenta B,Time 1,Estrategia 1,Marca A,Jornada 2,Sim,Produto 2
Cliente 64,(11) 918585377,cliente64@exemplo.com,Masculino,C,Pequeno,Área 2,Função 1,Estrategia A,Sim,Proativa,Sim,Regular,Não,Sim,Não,Não,286,Ferramenta C,Time 1,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 65,(11) 996544585,cliente65@exemplo.com,Masculino,C,Pequeno,Área 2,Função 1,Estrategia A,Não,Reativa,Não,Boa,Sim,Não,Sim,Não,130,Ferramenta B,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
Cliente 66,(11) 995157821,cliente66@exemplo.com,Feminino,A,Pequeno,Área 2,Função 2,Estrategia A,Não,Reativa,Não,Boa,Não,Sim,Não,Não,359,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 1
Cliente 67,(11) 997655395,cliente67@exemplo.com,Feminino,B,Pequeno,Área 2,Função 2,Estrategia B,Sim,Proativa,Sim,Boa,Não,Não,Sim,Não,520,Ferramenta B,Time 1,Estrategia 2,Marca A,Jornada 1,Não,Produto 2
Cliente 68,(11) 927824013,cliente68@exemplo.com,Feminino,A,Pequeno,Área 3,Função 1,Estrategia A,Não,Reativa,Sim,Ruim,Sim,Sim,Não,Não,628,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Sim,Produto 1
Cliente 69,(11) 946601694,cliente69@exemplo.com,Masculino,A,Pequeno,Área 3,Função 2,Estrategia B,Sim,Proativa,Sim,Boa,Sim,Não,Não,Não,650,Ferramenta B,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 1
Cliente 70,(11) 977105583,cliente70@exemplo.com,Feminino,A,Pequeno,Área 3,Função 1,Estrategia B,Sim,Proativa,Sim,Boa,Sim,Não,Não,Sim,403,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 1
Cliente 71,(11) 970304654,cliente71@exemplo.com,Masculino,A,Grande,Área 1,Função 3,Estrategia A,Sim,Reativa,Não,Boa,Não,Sim,Sim,Não,138,Ferramenta B,Time 1,Estrategia 2,Marca A,Jornada 2,Sim,Produto 1
Cliente 72,(11) 944119117,cliente72@exemplo.com,Masculino,B,Médio,Área 2,Função 2,Estrategia A,Sim,Proativa,Não,Ruim,Não,Sim,Não,Não,588,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 2
Cliente 73,(11) 946433622,cliente73@exemplo.com,Masculino,A,Pequeno,Área 2,Função 1,Estrategia A,Sim,Proativa,Não,Regular,Sim,Sim,Sim,Não,743,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 74,(11) 999482491,cliente74@exemplo.com,Masculino,B,Grande,Área 3,Função 2,Estrategia B,Não,Reativa,Sim,Boa,Sim,Não,Sim,Não,641,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 2,Sim,Produto 2
Cliente 75,(11) 970031992,cliente75@exemplo.com,Feminino,B,Grande,Área 2,Função 1,Estrategia A,Não,Reativa,Sim,Regular,Não,Não,Não,Sim,769,Ferramenta C,Time 1,Estrategia 1,Marca B,Jornada 2,Sim,Produto 2
Cliente 76,(11) 965105831,cliente76@exemplo.com,Feminino,C,Grande,Área 2,Função 1,Estrategia B,Sim,Proativa,Não,Ruim,Sim,Não,Sim,Sim,377,Ferramenta B,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 3
Cliente 77,(11) 913366612,cliente77@exemplo.com,Masculino,B,Médio,Área 3,Função 2,Estrategia A,Não,Reativa,Sim,Ruim,Não,Não,Não,Sim,302,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 2
Cliente 78,(11) 968743503,cliente78@exemplo.com,Masculino,C,Pequeno,Área 1,Função 3,Estrategia A,Sim,Reativa,Não,Ruim,Não,Sim,Sim,Sim,165,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 3
Cliente 79,(11) 946258670,cliente79@exemplo.com,Masculino,B,Grande,Área 1,Função 1,Estrategia B,Não,Reativa,Não,Ruim,Sim,Não,Sim,Não,207,Ferramenta B,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 2
Cliente 80,(11) 979739572,cliente80@exemplo.com,Feminino,B,Médio,Área 1,Função 1,Estrategia B,Não,Reativa,Não,Regular,Sim,Não,Não,Sim,367,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 2
Cliente 81,(11) 965848857,cliente81@exemplo.com,Masculino,B,Médio,Área 3,Função 1,Estrategia A,Não,Proativa,Não,Boa,Não,Não,Não,Sim,321,Ferramenta B,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 2
Cliente 82,(11) 967055419,cliente82@exemplo.com,Masculino,C,Médio,Área 2,Função 3,Estrategia B,Não,Proativa,Não,Ruim,Sim,Não,Não,Sim,903,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
Cliente 83,(11) 959160571,cliente83@exemplo.com,Feminino,C,Grande,Área 3,Função 3,Estrategia B,Sim,Proativa,Sim,Ruim,Sim,Não,Não,Sim,629,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 2,Sim,Produto 3
Cliente 84,(11) 978394024,cliente84@exemplo.com,Feminino,A,Pequeno,Área 3,Função 2,Estrategia B,Sim,Reativa,Sim,Regular,Sim,Não,Sim,Não,189,Ferramenta A,Time 2,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 85,(11) 974525468,cliente85@exemplo.com,Masculino,C,Grande,Área 2,Função 3,Estrategia B,Não,Reativa,Sim,Regular,Sim,Não,Sim,Sim,792,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 3
Cliente 86,(11) 999966606,cliente86@exemplo.com,Feminino,C,Grande,Área 1,Função 2,Estrategia B,Não,Reativa,Não,Ruim,Não,Sim,Sim,Não,354,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 87,(11) 948727468,cliente87@exemplo.com,Feminino,C,Pequeno,Área 1,Função 2,Estrategia A,Sim,Reativa,Não,Boa,Não,Não,Não,Sim,554,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 3
Cliente 88,(11) 961757120,cliente88@exemplo.com,Masculino,C,Pequeno,Área 3,Função 3,Estrategia A,Não,Reativa,Não,Boa,Não,Não,Sim,Não,352,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 3
Cliente 89,(11) 977157848,cliente89@exemplo.com,Feminino,A,Pequeno,Área 1,Função 2,Estrategia B,Sim,Reativa,Não,Ruim,Não,Não,Não,Não,356,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 1
Cliente 90,(11) 987897542,cliente90@exemplo.com,Masculino,C,Médio,Área 3,Função 3,Estrategia A,Sim,Reativa,Sim,Regular,Sim,Não,Sim,Sim,482,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 2,Não,Produto 3
Cliente 91,(11) 983665032,cliente91@exemplo.com,Feminino,B,Pequeno,Área 3,Função 2,Estrategia A,Sim,Proativa,Sim,Ruim,Sim,Sim,Não,Sim,541,Ferramenta B,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 2
Cliente 92,(11) 995390464,cliente92@exemplo.com,Masculino,B,Grande,Área 2,Função 3,Estrategia B,Não,Proativa,Não,Ruim,Não,Sim,Sim,Sim,957,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 2
Cliente 93,(11) 958170987,cliente93@exemplo.com,Masculino,C,Pequeno,Área 2,Função 3,Estrategia A,Sim,Reativa,Não,Regular,Não,Sim,Sim,Sim,698,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 3
Cliente 94,(11) 962562567,cliente94@exemplo.com,Masculino,C,Grande,Área 2,Função 2,Estrategia B,Não,Reativa,Não,Ruim,Sim,Sim,Não,Não,189,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 95,(11) 933717335,cliente95@exemplo.com,Feminino,B,Médio,Área 3,Função 1,Estrategia B,Sim,Reativa,Sim,Ruim,Não,Sim,Sim,Não,848,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 2,Sim,Produto 2
Cliente 96,(11) 970472382,cliente96@exemplo.com,Masculino,B,Grande,Área 2,Função 2,Estrategia A,Não,Proativa,Sim,Ruim,Não,Sim,Não,Sim,489,Ferramenta A,Time 1,Estrategia 1,Marca A,Jornada 2,Não,Produto 2
Cliente 97,(11) 922719242,cliente97@exemplo.com,Feminino,A,Grande,Área 1,Função 3,Estrategia B,Não,Proativa,Sim,Regular,Sim,Não,Sim,Sim,681,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 1
Cliente 98,(11) 958715250,cliente98@exemplo.com,Masculino,B,Pequeno,Área 1,Função 1,Estrategia B,Não,Reativa,Não,Boa,Não,Sim,Sim,Não,143,Ferramenta B,Time 1,Estrategia 1,Marca A,Jornada 2,Sim,Produto 2
Cliente 99,(11) 993139152,cliente99@exemplo.com,Masculino,B,Pequeno,Área 3,Função 2,Estrategia B,Sim,Reativa,Não,Boa,Sim,Sim,Não,Sim,811,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 1,Não,Produto 2
Cliente 100,(11) 954054178,cliente100@exemplo.com,Feminino,C,Grande,Área 3,Função 2,Estrategia B,Sim,Proativa,Sim,Regular,Sim,Não,Não,Não,763,Ferramenta B,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 3
Cliente 101,(11) 948334882,cliente101@exemplo.com,Masculino,B,Pequeno,Área 2,Função 2,Estrategia B,Não,Proativa,Não,Boa,Não,Sim,Sim,Sim,697,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 2
Cliente 102,(11) 962441466,cliente102@exemplo.com,Masculino,A,Médio,Área 3,Função 1,Estrategia A,Não,Proativa,Sim,Ruim,Sim,Não,Sim,Não,118,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 103,(11) 959583876,cliente103@exemplo.com,Feminino,B,Médio,Área 3,Função 3,Estrategia A,Não,Proativa,Não,Boa,Não,Não,Sim,Não,200,Ferramenta A,Time 1,Estrategia 1,Marca A,Jornada 1,Sim,Produto 2
Cliente 104,(11) 996117865,cliente104@exemplo.com,Masculino,C,Pequeno,Área 1,Função 2,Estrategia B,Sim,Reativa,Sim,Ruim,Sim,Sim,Sim,Não,706,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Sim,Produto 3
Cliente 105,(11) 973203558,cliente105@exemplo.com,Masculino,C,Médio,Área 1,Função 2,Estrategia B,Sim,Proativa,Não,Boa,Não,Não,Sim,Não,865,Ferramenta A,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
